prot,frac_under_70,frac_under_50
TMIE,0.6794871794871795,0.15384615384615385
PPBT,0.08206106870229007,0.06679389312977099
NKX21,0.8140161725067385,0.5633423180592992
ABD12,0.18592964824120603,0.12814070351758794
UBR1,0.12292738707833048,0.05603201829616924
EDAR,0.484375,0.33035714285714285
MLH1,0.2671957671957672,0.19576719576719576
PRP16,0.4091279543602282,0.28117359413202936
HXB13,0.7676056338028169,0.4014084507042254
AQP4,0.25696594427244585,0.19814241486068113
TTHY,0.19727891156462585,0.08163265306122448
BFSP2,0.3060240963855422,0.27951807228915665
AT2C1,0.10337323177366703,0.03264417845484222
MOGS,0.08363201911589008,0.04659498207885305
EDN1,0.5990566037735849,0.17452830188679244
TM240,0.7109826589595376,0.34104046242774566
CCD22,0.215311004784689,0.1339712918660287
S26A2,0.18267929634641408,0.13396481732070364
COX14,0.10526315789473684,0.017543859649122806
CENPE,0.21510551647537948,0.13069233617178821
NLGN3,0.3266509433962264,0.27004716981132076
GNPTG,0.32459016393442625,0.19344262295081968
COCH,0.11090909090909092,0.09636363636363636
LZTL1,0.12709030100334448,0.06354515050167224
DPP6,0.14566473988439307,0.11791907514450867
RNH1,0.2762237762237762,0.23426573426573427
F13B,0.12102874432677761,0.06202723146747353
RM36,0.6213592233009708,0.08737864077669903
S19A2,0.2112676056338028,0.16901408450704225
GNA11,0.04735376044568245,0.011142061281337047
FAT4,0.13210198755270025,0.10238907849829351
DYN1,0.2349537037037037,0.16203703703703703
T126A,0.06153846153846154,0.005128205128205128
SCN4B,0.24561403508771928,0.11842105263157894
F222A,0.9137168141592921,0.6393805309734514
TFR2,0.1760299625468165,0.13607990012484394
ARHG9,0.21124031007751937,0.187984496124031
SC6A1,0.11686143572621036,0.09015025041736227
MCP,0.2729591836734694,0.15816326530612246
MYH10,0.37550607287449395,0.051113360323886636
JAG1,0.2996715927750411,0.13218390804597702
BMP1,0.1308316430020284,0.08924949290060852
ADAT3,0.13105413105413105,0.08831908831908832
ALG13,0.6657871591908531,0.5971855760773966
MYD88,0.17905405405405406,0.05067567567567568
ANTR2,0.44171779141104295,0.19222903885480572
WDR37,0.2732793522267207,0.242914979757085
SPAG1,0.3077753779697624,0.2591792656587473
RUSD3,0.17094017094017094,0.14814814814814814
ALG8,0.07604562737642585,0.043726235741444866
CLH2,0.18170731707317073,0.01097560975609756
VHL,0.27230046948356806,0.1267605633802817
ACL6A,0.08158508158508158,0.055944055944055944
DCTN1,0.21987480438184664,0.16118935837245696
VACHT,0.2800751879699248,0.20112781954887218
IGLL1,0.4460093896713615,0.3051643192488263
EFNB1,0.4624277456647399,0.315028901734104
APOB,0.25312294543063774,0.035064650449265836
TRI36,0.2348901098901099,0.12912087912087913
MYC,0.7494305239179955,0.3690205011389522
IMPG2,0.6575342465753424,0.580177276390008
FKB10,0.08762886597938144,0.070446735395189
FBN1,0.1581330546847788,0.06025774991292233
MYCN,0.7564655172413793,0.3922413793103448
PYDC1,0.033707865168539325,0.011235955056179775
EPO,0.16062176165803108,0.02072538860103627
SC23A,0.04183006535947712,0.022222222222222223
KAT6B,0.7279305354558611,0.7004341534008683
DHH,0.17676767676767677,0.03535353535353535
CLCN4,0.1,0.034210526315789476
KPYR,0.09930313588850175,0.08188153310104529
HEP2,0.25250501002004005,0.22645290581162325
PLIN1,0.7988505747126436,0.5076628352490421
LAGE3,0.4755244755244755,0.055944055944055944
K2C6A,0.4858156028368794,0.43439716312056736
GDE,0.016971279373368148,0.0019582245430809398
KCNJ6,0.20803782505910165,0.14184397163120568
PDX1,0.6996466431095406,0.254416961130742
FOLR1,0.08560311284046693,0.0038910505836575876
LONM,0.24191866527632952,0.16996871741397288
KPTN,0.09174311926605505,0.0481651376146789
STX11,0.20209059233449478,0.0627177700348432
HCFC1,0.7434889434889435,0.7262899262899263
NDUAD,0.027777777777777776,0.013888888888888888
TM10A,0.36283185840707965,0.26548672566371684
CBPA6,0.08924485125858124,0.06636155606407322
HNRPK,0.509719222462203,0.39956803455723544
GT251,0.12379421221864952,0.06913183279742766
TBB4A,0.04279279279279279,0.02027027027027027
PIGO,0.1928374655647383,0.08356290174471992
SUZ12,0.3870094722598105,0.3125845737483085
HKDC1,0.023991275899672846,0.0010905125408942203
TIM14,0.1206896551724138,0.0
PFKAL,0.038461538461538464,0.01282051282051282
HFE,0.12931034482758622,0.040229885057471264
NTH,0.2724358974358974,0.2403846153846154
MPLKI,0.8100558659217877,0.46368715083798884
RIT1,0.182648401826484,0.0593607305936073
RNF12,0.7836538461538461,0.6634615384615384
DHB4,0.08695652173913043,0.043478260869565216
OSGEP,0.0,0.0
PK3CD,0.12164750957854406,0.04310344827586207
SIX6,0.2601626016260163,0.18699186991869918
